TIMESTAMP,STRIDE_LENGTH,HEADING
1615126719343,0.1997348879123484,-157.63946147187048
1615126719663,0.23368513019662696,-157.46116771339328
1615126719898,0.23256968893790142,-157.40141533337757
1615126720486,1.066746540804434,-157.0227985910177
1615126720894,0.6533251770432569,-156.90397706677575
1615126721280,0.5266748635268537,-156.50200540733698
1615126721688,0.5562205065385073,-156.1455739717369
1615126722168,0.785442142197198,-156.64550248171153
1615126722595,0.7491012549940235,-157.32927343485588
1615126723083,0.5226834423995763,-157.11080508974106
1615126723527,1.0312552115385187,-157.71776113504475
1615126723953,0.23125106522491445,-158.45675196784703
1615126724496,1.3827794339810051,-159.10465568830583
1615126724803,0.7946468559025743,-158.96257572353636
1615126725067,0.2123641946076682,-158.96623583317046
1615126725424,1.7525060369015055,-159.0347722669769
1615126725972,1.653528522181591,-158.95689179042475
1615126726173,0.19185079160800034,-158.75914155072195
1615126726380,0.08446672182258363,-158.59771905955327
1615126726804,0.3134665704633033,-158.73279575298372
1615126727324,0.6730994765628562,-157.86692365823876
1615126752758,8.060409327633936,149.7983441359972
1615126753090,2.4575721103593295,151.0999805391649
1615126753502,1.036505402200646,150.2923662096893
1615126753947,0.13469282476368805,150.91232369147787
1615126754721,1.1806172437308238,152.34004444736811
1615126755084,0.5288946688927654,151.21822551146454
1615126755503,0.4926724142828365,151.50809081237745
1615126755950,0.4310879742552398,152.02250531870797
1615126756195,0.4390633944394928,151.82031602689278
1615126756622,0.8036892068017409,152.42433718312822
1615126756985,0.48806667380412727,153.60173605968134
1615126757596,0.3324333559207382,154.52048359293784
1615126757996,1.1816132835717297,155.06817853083783
1615126758403,0.8144163940144122,154.40516264097545
1615126758907,0.5531242909518164,153.55042665904216
1615126759328,0.6213440954119787,154.10130214074462
1615126759774,0.653124971268968,153.19558106066214
1615126760119,0.4524152099069001,152.924740653275
1615126760812,1.0748937999769093,151.29696744217043
1615126761014,0.9356587482404466,150.33296780227744
1615126761312,0.9491585372228151,149.5509505796032
1615126762022,0.9348665129906542,151.0166834400999
1615126762405,0.6975400673657484,151.48608692270005
1615126762770,0.4126031207689418,152.60571327322748
1615126763233,0.4274999235249666,152.72968636811044
1615126763601,0.37672699594840653,151.32966813256812
1615126763920,0.18842609580131175,151.94185472955354
1615126764426,0.47201541140744485,151.3953774712549
1615126764847,0.36002597728242547,152.45674906494384
1615126765314,1.3315461750329571,153.05196886793868
1615126765679,1.4819633637038365,153.02415962564675
1615126766093,0.24153781371690441,152.92495557506086
1615126766441,0.5954241747745626,152.09601290009465
1615126766956,0.2908500252732171,151.8005512904378
1615126767236,0.4442746688152832,151.05359333660272
1615126767894,0.39755313342740073,151.0998164745238
1615126768398,0.9151851065104688,153.25040590374044
1615126768918,0.846251964465029,152.5316142963728
1615126769301,0.34571481367428714,152.12558717342102
1615126769792,0.2833335716906282,153.07539544711133
1615126770206,0.34063638219601566,152.3125367257378
1615126770755,0.5426628005376211,152.41060720188025
1615126771109,0.7094506868044281,151.9323549261168
1615126771502,0.38278080843398676,151.82593779800095
1615126771842,0.16058606928558428,152.37863113562295
