TIMESTAMP,X,Y,ORIENTATION,WAP_001,WAP_002,WAP_003,WAP_004,WAP_005,WAP_006,WAP_007,WAP_008,WAP_009,WAP_010,WAP_011,WAP_012,WAP_013,WAP_014,WAP_015,WAP_016,WAP_017,WAP_018,WAP_019,WAP_020,WAP_021,WAP_022,WAP_023,WAP_024,WAP_025,WAP_026,WAP_027,WAP_028,WAP_029,WAP_030,WAP_031,WAP_032,WAP_033,WAP_034,WAP_035,WAP_036,WAP_037,WAP_038,WAP_039,WAP_040,WAP_041,WAP_042,WAP_043,WAP_044,WAP_045,WAP_046,WAP_047,WAP_048,WAP_049,WAP_050,WAP_051,WAP_052,WAP_053,WAP_054,WAP_055,WAP_056,WAP_057,WAP_058,WAP_059,WAP_060,WAP_061,WAP_062,WAP_063,WAP_064,WAP_065,WAP_066,WAP_067,WAP_068,WAP_069,WAP_070,WAP_071,WAP_072,WAP_073,WAP_074,WAP_075,WAP_076,WAP_077,WAP_078,WAP_079,WAP_080,WAP_081,WAP_082,WAP_083,WAP_084,WAP_085,WAP_086,WAP_087,WAP_088,WAP_089,WAP_090,WAP_091,WAP_092,WAP_093,WAP_094,WAP_095,WAP_096,WAP_097,WAP_098,WAP_099,WAP_100,WAP_101,WAP_102,WAP_103,WAP_104,WAP_105,WAP_106,WAP_107,WAP_108,WAP_109,WAP_110,WAP_111,WAP_112,WAP_113,WAP_114,WAP_115,WAP_116,WAP_117,WAP_118,WAP_119,WAP_120,WAP_121,WAP_122,WAP_123,WAP_124,WAP_125,WAP_126,WAP_127,WAP_128,WAP_129,WAP_130,WAP_131,WAP_132,WAP_133,WAP_134,WAP_135,WAP_136,WAP_137,WAP_138,WAP_139,WAP_140,WAP_141,WAP_142,WAP_143,WAP_144,WAP_145,WAP_146,WAP_147,WAP_148,WAP_149,WAP_150,WAP_151,WAP_152,WAP_153,WAP_154,WAP_155,WAP_156,WAP_157,WAP_158,WAP_159,WAP_160,WAP_161,WAP_162,WAP_163,WAP_164,WAP_165,WAP_166,WAP_167,WAP_168,WAP_169,WAP_170,WAP_171,WAP_172,WAP_173,WAP_174,WAP_175,WAP_176,WAP_177,WAP_178,WAP_179,WAP_180,WAP_181,WAP_182,WAP_183,WAP_184,WAP_185,WAP_186,WAP_187,WAP_188,WAP_189,WAP_190,WAP_191,WAP_192,WAP_193,WAP_194,WAP_195,WAP_196,WAP_197,WAP_198,WAP_199,WAP_200,WAP_201,WAP_202,WAP_203,WAP_204,WAP_205,WAP_206,WAP_207,WAP_208,WAP_209,WAP_210,WAP_211,WAP_212,WAP_213,WAP_214,WAP_215,WAP_216,WAP_217,WAP_218,WAP_219,WAP_220
1615112690097,23.1,32.9,0,-44,-48,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,-64,100,100,-68,-69,-68,100,100,-83,100,100,100,100,100,100,100,100,100,100,-68,-68,-82,-83,-82,-84,-83,100,-85,-86,-86,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,-89,-89,-40,-40,-40,-40,-41,-42,100,100,100,100,100,100,100,-72,-79,-73,-73,-73,100,100,100,100,100,-27,-34,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112694209,23.1,32.9,0,-43,-43,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,-87,100,100,-83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-66,-66,-67,-67,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-69,-85,-85,-84,100,100,100,-85,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,-78,-76,-77,-92,-92,100,-42,-41,100,-40,-41,-40,100,100,100,100,100,100,100,100,-72,-78,-78,-78,100,100,100,100,100,-28,-34,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112698192,23.1,32.9,0,-44,-42,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-65,-65,-65,-67,-68,-67,-81,100,-79,-93,-93,-92,100,100,100,100,100,100,-70,-68,100,-84,-84,-84,100,100,100,-85,-85,-86,100,100,100,100,100,100,100,100,100,100,100,100,-77,-78,-78,-88,-89,-89,-42,-42,-42,-41,-41,-41,100,100,100,100,100,100,100,-73,-74,-76,-75,-76,100,100,100,100,100,-34,-31,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112701983,23.1,32.9,0,-44,-42,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,100,100,100,100,100,-83,100,100,100,100,100,100,-93,100,100,100,100,100,100,100,-65,100,100,-68,-68,-68,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-69,-84,-83,-84,-79,100,100,-84,-83,-84,100,100,100,100,100,100,100,100,-85,100,100,100,-77,-77,-77,-92,-91,-92,-40,-42,-42,-41,-41,-41,100,100,100,100,100,100,100,100,100,-80,-79,-80,100,100,100,100,100,-32,-34,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,100,-84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112705619,23.1,32.9,0,-44,-44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-89,100,100,100,100,100,100,100,-63,100,100,-67,-67,-67,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-73,-85,-85,-86,100,100,100,-85,-85,-86,100,100,100,100,100,100,100,100,100,100,100,100,-75,-83,100,-91,-91,-90,-46,-45,100,-46,-47,-46,100,100,100,100,100,100,100,100,100,-77,-77,-77,100,100,100,100,100,-39,-33,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112710031,23.1,32.9,90,100,-42,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-92,100,100,100,100,100,100,100,100,100,-72,-68,-68,-68,100,100,100,100,100,100,100,100,100,100,100,100,-75,100,100,-84,-83,-84,100,100,100,-85,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,-92,-91,-46,-46,-46,-46,-46,-46,100,100,100,100,100,100,100,100,100,-77,-77,-77,100,100,100,100,100,-34,-36,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112713961,23.1,32.9,90,-42,-44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,-62,100,100,-69,-69,-69,100,100,-83,100,100,100,100,100,100,100,100,100,100,-76,100,-83,-84,-82,100,100,100,-85,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-92,-88,-89,-46,-45,-46,-45,-45,-46,100,100,100,100,100,100,100,100,100,-76,-76,-77,100,100,100,100,100,-32,-36,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-72,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112718012,23.1,32.9,90,-42,-44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-91,100,100,100,100,100,100,100,-62,-64,-63,-69,-68,-68,-84,100,100,100,100,100,100,-81,100,100,100,100,-75,-76,-75,-84,-84,-84,100,100,100,-85,-87,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,-83,100,-92,-91,-90,-46,-46,-46,-43,-44,-43,100,100,100,100,100,100,100,100,-72,-77,-76,-76,100,100,100,100,100,-31,-37,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-71,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112721902,23.1,32.9,90,100,-47,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-64,-66,-68,-68,-67,100,100,100,100,100,-93,100,100,100,100,100,100,-75,-74,-76,-85,-86,-84,100,-81,-77,-85,-84,-85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,-91,-91,-47,-47,-46,-44,-44,-44,100,100,-81,100,100,100,100,-74,100,-77,-77,-77,100,100,100,100,100,-33,-37,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-70,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112725837,23.1,32.9,90,-44,-44,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-64,-63,-64,-67,-67,-67,100,100,100,100,100,100,100,100,100,100,100,100,-74,-77,-85,-85,-85,-87,100,100,100,-85,-85,-85,100,100,100,100,100,100,100,100,100,100,100,100,-79,100,-78,-91,-92,-91,-47,-47,-47,-45,100,100,100,100,100,100,100,100,100,-71,100,-75,-76,-75,100,100,100,100,100,-32,-38,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-70,-71,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112729785,23.1,32.9,180,100,-41,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-67,-67,100,100,100,-92,-93,-93,100,100,100,100,100,100,100,-78,-74,-84,-84,-83,-79,-79,-79,-87,-87,-87,100,100,100,100,100,100,100,100,100,100,100,100,-76,-76,100,-90,-90,-90,-49,-50,-49,-42,-43,-43,100,100,100,100,100,100,100,100,100,-78,-79,-79,100,100,100,100,100,-31,-34,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112729814,23.1,32.9,180,100,-41,100,100,100,100,100,100,100,100,100,100,100,100,100,-90,100,100,100,100,100,100,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-67,-67,-67,100,100,100,-92,-93,-93,100,100,100,100,100,100,100,-78,-74,-84,-84,-83,-79,-79,-79,-87,-87,-87,100,100,100,100,100,100,100,100,100,100,100,100,-76,-76,100,-90,-90,-90,-49,-50,-49,-42,-43,-43,100,100,100,100,100,100,100,100,100,-78,-79,-79,100,100,100,100,100,-31,-34,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-72,-70,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1615112733644,23.1,32.9,180,-43,-38,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-92,100,100,100,100,100,100,100,100,-70,-68,-67,-68,-67,100,100,100,100,100,100,100,100,100,100,100,100,-73,-72,-72,-85,-91,-85,100,100,100,-87,-85,-88,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-41,-43,-42,-42,-43,-42,100,100,100,100,100,100,-65,-69,-71,-78,-78,-78,100,100,100,100,100,-31,-35,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,-73,-69,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
